KPI_DATE,REVENUE,ORDERS,CUSTOMERS,INVENTORY,CHURN_RATE
2026-01-01,9233,252,186,204,6.4
2026-01-02,12759.26,279,193,433,5.9
2026-01-03,12852.6,233,179,330,2.1
2026-01-04,18886.66,311,146,470,5.1
2026-01-05,17575.35,290,191,378,2.3
2026-01-06,20260.62,240,212,516,4
2026-01-07,23600.46,331,215,455,1
2026-01-08,12731.56,241,207,539,4.6
2026-01-09,19467.69,130,233,277,2.1
2026-01-10,20631.23,273,171,337,5.6
2026-01-11,16417.18,194,234,475,2.2
2026-01-12,17441.69,225,196,542,2.3
2026-01-13,18588.04,299,191,389,4.9
2026-01-14,12304.16,246,197,519,2.3
2026-01-15,17515.41,229,117,420,2.9
2026-01-16,16480.57,307,234,275,2.8
2026-01-17,13827.94,285,112,656,4.9
2026-01-18,8729,263,120,450,4.4
2026-01-19,15164.03,234,157,362,3.5
2026-01-20,22442.76,323,171,560,6
2026-01-21,18033.03,183,174,483,3.6
2026-01-22,18236.51,247,135,570,3
2026-01-23,16341.67,258,142,297,2.3
2026-01-24,17887.81,241,204,614,10.1
2026-01-25,14705,229,215,475,6.7
2026-01-26,17415.52,262,215,386,3.2
2026-01-27,17269.46,177,232,404,5.4
2026-01-28,21651.39,285,183,298,3.1
2026-01-29,25847.34,237,191,282,3.1
2026-01-30,14563.4,239,160,181,2.3
2026-01-31,18503.35,300,168,385,3.6
2026-02-01,19319.74,237,171,567,1.5
2026-02-02,20329.04,274,178,365,6.3
2026-02-03,24054.94,214,172,455,1
2026-02-04,7403,278,156,459,1
2026-02-05,19163.58,327,210,433,2.7
2026-02-06,19556.95,312,204,464,1
2026-02-07,19659.03,332,219,445,2.9
2026-02-08,15481.94,214,205,423,3.5
2026-02-09,15430.18,217,212,548,1
2026-02-10,18117.49,262,128,550,3.8
2026-02-11,15201.21,236,136,447,1
2026-02-12,15736.49,262,192,450,3.4
2026-02-13,16763.64,254,200,220,4.1
2026-02-14,16825.02,257,121,411,4.1
2026-02-15,18548.04,289,162,529,2.7
2026-02-16,17123.28,253,234,484,7.2
2026-02-17,16783.68,241,163,415,4.4
2026-02-18,15638.15,220,263,329,6
2026-02-19,18285.26,240,183,316,3
2026-02-20,20183.21,290,213,448,3.1
2026-02-21,9166,223,182,582,3.2
2026-02-22,24443.68,264,174,546,4.4
2026-02-23,17296.32,276,201,352,3
2026-02-24,13598.41,216,204,542,3.3
2026-02-25,22037.33,332,152,499,4.5
2026-02-26,17950.78,263,196,292,3.3
2026-02-27,23738.73,214,178,455,3.5
2026-02-28,23622.81,194,126,166,2.6
2026-03-01,17018.08,301,198,639,1.5
2026-03-02,21191.04,270,168,298,2.1
2026-03-03,21565.86,345,123,419,1
2026-03-04,18173.5,286,196,366,2.5
2026-03-05,19152.27,329,162,306,4.9
2026-03-06,17752.17,226,219,537,3.1
2026-03-07,18661.83,230,194,492,2.7
2026-03-08,21039.41,177,198,550,2.3
2026-03-09,19684.58,330,215,356,5.2
2026-03-10,9378,181,185,438,4.5
2026-03-11,16099.03,294,183,494,9.3
2026-03-12,16138.81,316,155,413,2.3
2026-03-13,16757.77,259,188,519,2.5
2026-03-14,16900.26,187,174,344,5.9
2026-03-15,20200.89,241,216,502,1.2
2026-03-16,17063.78,296,160,469,3.2
2026-03-17,19751.75,166,229,334,1
2026-03-18,15784.73,234,189,419,3.1
2026-03-19,21611.05,202,165,325,3.9
2026-03-20,18895.94,309,240,326,3.9
2026-03-21,19289.77,196,185,335,6.4
2026-03-22,18037.41,192,193,479,4.8
2026-03-23,18400.98,173,200,503,4.3
2026-03-24,16422,238,176,320,3.6
2026-03-25,23109.9,334,192,425,2.7
2026-03-26,16059.35,272,230,391,4.8
2026-03-27,9289,288,158,462,1
2026-03-28,10927.09,197,227,341,3.1
2026-03-29,13927.71,287,151,210,1.7
2026-03-30,12442.32,283,205,358,3.9
2026-03-31,14031.04,263,227,405,2.2
2026-04-01,14199.16,341,207,444,2.7
2026-04-02,19351.51,270,225,370,5.3
2026-04-03,24120.42,292,143,518,10
2026-04-04,17768.89,214,171,490,3
2026-04-05,12314.94,320,212,323,3.2
2026-04-06,11751.09,301,165,405,5.6
2026-04-07,14014.38,303,206,282,5.7
2026-04-08,11379.1,315,184,520,2.2
2026-04-09,17238.12,243,126,498,4.1
2026-04-10,20470.86,236,224,323,6.7
